seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
38,Viola,Chandler,61,Domsu Center,Wiwopi,VT,01718,$8175.45,RED,05/08/2041
39,Sallie,Blake,20,Jopo Heights,Majteute,OK,04502,$9788.38,RED,09/20/1972
40,Jonathan,Rhodes,20,Zubrib Manor,Pagosot,MD,83020,$3816.79,RED,04/12/1919
41,Tommy,Williams,54,Bukji Parkway,Buzosni,WY,18227,$9788.51,RED,01/23/2050
42,Edna,Swanson,62,Lozu Point,Ijawuhsiz,MS,69281,$4183.93,BLUE,10/27/2007
43,Lizzie,Barton,46,Elunab Way,Worfanab,MO,72084,$1105.50,RED,09/18/1999
44,Alta,Mathis,25,Sumku Point,Kusugun,MO,68158,$6110.33,YELLOW,12/18/2059
45,Walter,Bowen,43,Hiphek Plaza,Gerulveg,DC,70981,$8023.17,BLUE,08/21/1988
46,Samuel,Pittman,23,Embin Junction,Wavnoed,TX,12441,$4047.48,BLUE,01/23/1913
47,Chester,Colon,50,Oceih Park,Zitlivsip,SD,79807,$6605.14,BLUE,11/26/1967
48,Marguerite,Reeves,52,Kugruv Highway,Ekohooh,MA,36584,$2655.62,RED,08/03/1988
49,Jayden,Castro,33,Zino Key,Tocivna,OR,16420,$797.90,WHITE,12/12/1998
50,Willie,Fitzgerald,58,Haldul Mill,Sifanka,MA,16822,$6005.60,GREEN,05/16/1997
51,Janie,Morris,41,Idowo Turnpike,Topildu,MO,77510,$4411.60,GREEN,06/18/2030
52,Leona,Sandoval,35,Lusla Way,Kilejpic,SD,28400,$3624.68,GREEN,12/16/2049
53,Teresa,McBride,22,Enul Extension,Tofcizvak,ID,42263,$5396.14,YELLOW,08/16/1991
54,Bess,Sandoval,30,Viuka Way,Onkilzob,SD,39406,$721.14,BLUE,08/08/2052
55,Myrtie,Barrett,23,Fozvon Glen,Aduzovul,CA,09172,$6609.08,BLUE,02/08/1953
56,Mollie,Gonzalez,25,Edwad Terrace,Siulejeb,MT,62844,$6896.62,YELLOW,06/23/2065
57,Jacob,Bishop,24,Fockun Court,Ekcibad,NV,94643,$8427.88,RED,11/29/1905
58,Lottie,Banks,44,Kuwa Square,Zuzmamid,NM,70008,$955.77,BLUE,07/02/1956
59,Donald,Tyler,62,Fala Plaza,Ahwacfa,AK,45705,$2734.18,YELLOW,04/01/1940
60,Jessie,Myers,32,Fopic Glen,Vulgiki,HI,20666,$1172.42,YELLOW,08/09/1926
61,Cynthia,Price,18,Rouki Mill,Jivbapoz,WA,53226,$1509.76,WHITE,04/17/2047
62,Willie,Carpenter,54,Nesvig Point,Lipegaeta,TX,82983,$3016.92,RED,08/27/1933
63,Lucinda,Wolfe,48,Fefe Path,Kancikug,IA,67166,$5985.21,GREEN,06/04/1924
64,Pauline,Morgan,57,Nicfiz Ridge,Zigero,NM,65605,$743.79,BLUE,03/17/1967
65,Ollie,Cook,18,Newge Terrace,Nuluhvip,DC,85673,$2207.35,WHITE,07/10/1919
66,Luke,Brock,62,Pelo Heights,Zihhuri,MO,60771,$6765.68,RED,10/05/1967
67,Evelyn,Patton,49,Lehaj Parkway,Zowfazol,ID,42924,$7879.70,WHITE,07/10/2058
68,Scott,Carr,20,Zina Grove,Jeuniobi,CO,67670,$3598.19,YELLOW,05/07/1929
69,Mina,Thomas,55,Uhbon Road,Fumkedpo,RI,76902,$7519.01,BLUE,10/23/2012
70,Alejandro,Ross,25,Ficsa Place,Ihlajkuk,KS,02202,$4087.47,RED,08/25/2007
71,Brent,Farmer,31,Loewu Mill,Izazonej,DC,43630,$2909.82,WHITE,02/24/1975
72,Effie,Haynes,62,Fied Road,Supapun,NC,92513,$2986.98,RED,03/16/2042
73,William,Stevenson,26,Lojked Junction,Usnodim,HI,69285,$2822.85,WHITE,01/29/1962
74,Hannah,Newton,42,Paup Lane,Vifjocde,OH,19922,$6348.03,WHITE,03/22/2029
75,Mitchell,Baker,25,Dajog Manor,Geozisat,MN,75703,$1911.96,WHITE,12/08/2034
76,Jimmy,Rose,24,Uboga Ridge,Peviud,CT,24098,$3727.92,BLUE,08/02/1944
77,John,Love,21,Bepub Road,Giconmih,MD,08852,$3469.89,RED,09/15/1934
78,Lina,Phillips,25,Fetad Junction,Camubila,DC,97062,$1572.87,YELLOW,04/30/1994
79,Evan,Schneider,25,Muso Square,Famcogiz,WV,83671,$4747.08,YELLOW,02/15/1905
80,Adeline,Olson,29,Rati Path,Wunpadmo,WY,19480,$926.93,GREEN,06/28/1960
81,Winifred,Moss,61,Gagar Ridge,Uwhacud,VA,97802,$172.67,GREEN,12/22/1974
82,Noah,Ryan,21,Lubij Grove,Ikimubi,OH,15836,$5387.27,WHITE,06/14/1973
83,Vernon,Harrington,42,Gemon Manor,Fejevsam,OK,84232,$9220.96,BLUE,10/04/2004
84,Gilbert,Ortiz,59,Tubo Road,Ukanommud,SC,02840,$9727.39,BLUE,12/18/2016
85,Danny,Barrett,45,Ilagu Key,Tadacut,MI,04848,$2001.81,RED,12/11/1946
86,Martha,Cortez,58,Nuvab Manor,Sucihfa,NE,45465,$2496.89,RED,01/13/2070
87,Maurice,May,40,Ukemum Extension,Haofaci,IA,61475,$8424.49,BLUE,06/09/2050
88,Allen,Bennett,20,Zakma Trail,Ogpawi,SC,79111,$1267.66,RED,12/21/2028
89,Tillie,Drake,40,Nefzo Mill,Zogujmof,KY,86832,$3369.26,GREEN,09/03/1967
90,Violet,Green,57,Durhim Loop,Utzikeh,AL,00937,$9450.66,WHITE,07/18/1990
91,Alta,McBride,35,Ceplu Court,Tirlesus,CA,66651,$7703.36,BLUE,09/22/1910
92,Christian,Barrett,20,Emuzi Street,Satobnu,ID,23235,$6788.26,BLUE,06/09/1965
93,Stephen,West,65,Rairi Path,Panecac,MO,77883,$3380.69,BLUE,05/26/1964
94,Ivan,Cain,41,Otiip Road,Kopeof,KY,81779,$4047.44,WHITE,11/02/1931
95,Leila,Holt,45,Kifnop Ridge,Vujarob,UT,66141,$2485.29,GREEN,05/04/2003
96,Lena,Warren,20,Kapno Court,Zinelror,MN,79337,$2643.55,RED,10/05/1912
97,Teresa,Martin,64,Aseew Court,Ekbilhag,MO,53745,$5851.60,BLUE,08/14/2058
98,Francisco,Rodriquez,58,Usah Avenue,Sehupe,NE,60021,$2739.66,YELLOW,12/28/2015
99,George,Hart,54,Enimun Plaza,Fujizo,CT,51058,$3885.00,BLUE,09/07/2019
100,Estella,Rose,20,Giwgib Plaza,Gevobesug,OH,64659,$4361.98,GREEN,11/14/2011
